Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
jaier,,,2132.894737,2120,1,6,11,17
breizhladen,,,2080.583333,2080,1,5,7,12
salagaa,,,2026,2000,2,0,1,1
_coco_,,,2011.2,2000,2,1,4,5
Reppko,,,2080.230769,2080,0,7,6,13
mahyar-90,,,2074.232143,2040,1,30,26,56
guardman,,,2072.423077,2040,1,10,16,26
Blake,,,2056.25,2040,1,4,8,12
Porfirios,,,2035.015625,2000,1,31,33,64
D_Stahlberg,,,2098.511765,2080,3,4,4,8
amigochez,,,2001,2000,2,0,1,1
Barista,,,2034.5,2000,1,1,1,2
jlindner,,,2187.793103,2160,0,23,35,58
wichy,,,2040.703704,2040,1,11,16,27
kaZuHA,,,2039,2000,2,1,0,1
Alexinio99,,,2146.5,2120,0,0,2,2
olborg,,,2097.062857,2080,1,13,20,33
liargo,,,2014.666667,2000,1,2,1,3
dj770,,,2016,2000,1,0,1,1
ayka_99,,,2052.76,2040,1,14,11,25
nikolaypetkov_bnpp,,,2016,2000,1,1,0,1
MontessoriChess,,,2061,2040,0,1,0,1
RezachessMaster78,,,2170.25,2160,1,2,6,8
frenck1,,,2037.68254,2000,1,6,10,16
JoaBN,,,2308.333333,2280,0,3,2,5
zuriko,,,2042.263158,2040,1,7,12,19
paul58,,,2006.4,2000,1,3,2,5
shredded,,,2286.4,2280,0,5,5,10
Svesh,,,2034.25,2000,0,5,11,16
Lediamov,,,2024.344828,2000,1,16,11,27
DuraznoSangrante,,,2012.222222,2000,1,7,2,9
taulajoe,,,2033,2000,1,1,0,1
Farshad54,,,2058.020202,2040,1,52,47,99
iuser76,,,2229.588235,2200,0,7,10,17
Bordok,,,2078.105263,2040,1,88,83,171
ChikChak,,,2014,2000,1,1,0,1
Akademia0,,,2047.6,2040,1,3,2,5
Laterp,,,2045.5,2040,1,1,1,2
iuytrewq147,,,2545,2520,0,0,1,1
Patrizsche,,,2145.175,2120,1,7,7,14
JakobBo,,,2115.222222,2080,1,4,5,9
claymore,,,2093.333333,2080,0,4,2,6
worms123,,,2017,2000,2,0,2,2
moutcho,,,2097.555556,2080,1,5,4,9
Ed1,,,2096,2080,1,0,1,1
fymax,,,2163.591549,2160,0,35,36,71
goltrpoat,,,2012,2000,1,1,1,2
tranca,,,2074,2040,1,0,1,1
FuturoMestre,,,2053.75,2040,1,4,4,8
thegoodknight,,,2009,2000,1,0,1,1
yuio,,,2010,2000,1,3,3,6
Dreampower,,,2095.2,2080,1,3,2,5
hosein1970,,,2026.857143,2000,2,5,2,7
naser-----,,,2119,2080,1,1,0,1
raMtiN_MagNuS,,,2050,2040,3,1,1,2
Chovier,,,2133.8,2120,1,1,2,3
vktrch,,,2163.1875,2160,2,9,7,16
covua3001,,,2019.333333,2000,1,1,2,3
iNUiT_nUNAAt,,,2180.666667,2160,2,2,1,3
jthc,,,2049,2040,0,1,0,1
_-horror-_,,,2086.833333,2080,1,4,2,6
vit2014,,,2073.545455,2040,2,10,12,22
TASSADAR,,,2078.038462,2040,1,20,17,37
Ratatinator,,,2038.333333,2000,0,8,4,12
homoeporediensis,,,2002.666667,2000,2,2,1,3
bizamil,,,2056,2040,1,7,6,13
Maricki,,,2019.454545,2000,2,5,6,11
abucavid,,,2059.888889,2040,3,4,3,7
infinite-automata,,,2099.923077,2080,0,5,8,13
eqellar,,,2018.25,2000,0,2,2,4
Kobylka,,,2065.444444,2040,1,14,13,27
magic-milo,,,2046.748918,2040,2,14,17,31
chessmusic,,,2102.834711,2080,1,60,61,121
argo,,,2005.5,2000,0,2,0,2
fotc,,,2033.75,2000,1,2,2,4
crazymetalxxx,,,2047,2040,3,1,1,2
CormoranKR,,,2021.914286,2000,3,3,2,5
bahar1389,,,2023,2000,1,0,2,2
arminJM,,,2077,2040,1,1,1,2
Nerwal,,,2087.625,2080,4,10,6,16
gile2510,,,2006,2000,1,1,0,1
gus_fring,,,2197.25,2160,0,2,2,4
upep,,,2068.641026,2040,1,23,16,39
ryujin,,,2052.066667,2040,1,3,0,3
Twinpeaks,,,2027,2000,0,2,0,2
xX420_N0Sc0p3zXx,,,2049,2040,3,1,0,1
clipperton,,,2057.5,2040,0,3,1,4
MLUN,,,2068.889764,2040,1,69,58,127
gpv,,,2018,2000,2,4,1,5
expert700,,,2044.333333,2040,1,2,1,3
RudolfSpielmann,,,2155,2120,1,1,0,1
Hallon,,,2014.666667,2000,1,2,1,3
ver_vas,,,2071.285714,2040,1,4,3,7
kostya19841,,,2065.423077,2040,2,12,14,26
Ced97418,,,2026,2000,2,0,1,1
milancuruvija,,,2039.356643,2000,1,52,91,143
VasiliyProkopiev,,,2007,2000,1,1,0,1
predejan,,,2017.666667,2000,1,2,4,6
MKna150,,,2030.093333,2000,3,4,4,8
ozzychess,,,2004.5,2000,1,0,2,2
Phaethon,,,2118,2080,0,8,6,14
hackauron,,,2062,2040,0,0,1,1
inzeitnot,,,2067.514286,2040,1,18,17,35
kurton,,,2352.774468,2320,1,108,127,235
osipov,,,2006,2000,0,0,1,1
gracioso13,,,2182,2160,1,0,1,1
tuskerking,,,2092,2080,0,1,3,4
watov,,,2300,2280,0,1,0,1
escalibut,,,2041,2040,2,7,2,9
