ID,Win Rate,Elo Bucket
nimapashi003,0.25,2120
nimapashikh006,0.4,2160
nimapashikh0098,0.4,2120
nimapashikhiriran001,0,2200
nimapashikhirtabriz,0.625,2160
nimapashikhs0098,1,2040
nimapashikhtabrizira,0.5,2160
nimapashimr,1,2040
nimapashinew005,0.8,2120
nimaphkh-iran,1,2000
nnnnnnnn1,0,2080
nolp,0.25,2120
nomistakes7,1,2000
noname8,0,2080
noti,1,2040
novisad01,0.714285714,2120
nqclimaster,0.384615385,2000
nuam,0.705882353,2000
nuwonga,0.230769231,2160
obloumov,0.5,2000
ohdy,0.466666667,2040
okazaki,1,2040
olacy,1,2000
olborg,0.5,2080
old13,1,2200
oleg_h,0.6,2000
olegplus,0.833333333,2000
olman2011,0.4,2040
onxisback,1,2000
oplya,1,2000
oquzlar,0.558823529,2000
orginalea,0.916666667,2080
orsonico,0.545454545,2000
oshkob,1,2000
osipov,0.780487805,2000
ostadbozorg3400,1,2280
otk,0.480769231,2120
outlier,0.529411765,2080
oxymoron21st,0.461538462,2080
oyt712345,1,2000
ozzychess,0.5,2000
pac2103,1,2000
pacal56,0.495098039,2200
pachamama,0.492307692,2080
pajaro,0.523809524,2000
pakostnik,1,2040
palng,0.606060606,2040
paloverdekid,1,2160
panaman,0.6875,2000
pancholon3000,0.285714286,2040
papito2014,0,2040
paradigma,1,2000
parevluves,1,2080
partizan73,0.357142857,2000
pasoviola69,0,2040
paul58,0.833333333,2000
pawn-x,0.833333333,2000
paximi,0.75,2000
payman7,0.6,2000
peor2,0,2000
petra,0.666666667,2000
phil9234,0.857142857,2000
pilocl,0.559322034,2040
pingogigante,0.475,2040
pinkpony,1,2000
pipisipis,0.534934498,2200
pirketo,1,2000
pirouetti,0.857142857,2000
pjsino,1,2000
playcheckers,0.642857143,2000
plush1,0.625,2000
pmsryu,0.625,2000
pochocho76,0,2080
pokemon_,0,2000
portakal,0.461165049,2160
potus0,0.571428571,2080
predejan,0.5,2000
predejanex,1,2000
pridoni,0.586956522,2040
prosbx,0.489795918,2200
prova4002,0.666666667,2120
pulkownik0,0.6,2040
pulkownik1,0.458333333,2160
pulsar,0.3,2040
pumpicka,0,2080
pythondave,0.483870968,2120
qazplmwsxokn,0.5,2120
ql50,1,2040
qulko,1,2000
qweqweqweqwe1,0.428571429,2080
raMtiN_MagNuS,1,2040
rachomtbg,1,2000
radyo,0.75,2040
rafaking,1,2040
rajah,1,2080
raminder57,0.4,2000
ramires84,1,2160
ramon444,0.488372093,2080
ramtin939,1,2000
ranger64,0,2040
ranzo,1,2000
rashtao,1,2000
raskolnikov56,0.474074074,2160
rcedron,1,2000
realder,1,2040
registrado,0.333333333,2120
resmir,0.8,2040
retrograd,1,2080
ribarisah,0.615819209,2040
rigby,0.2,2240
rigosj,0.125,2080
river13,1,2000
rj1997,0.720930233,2000
romarfa,0.4,2200
rrrtttyyy,1,2080
rt0306,0.632183908,2000
rubiking,0,2040
runawayscared,0.576470588,2040
ruter,0.651515152,2040
ryksuguskyr,1,2040
rymrym2929,0.625,2000
ryujin,0.5,2040
saber-v,0.466666667,2000
sachinder,0.8,2040
sadman11,1,2120
saeedherox,0.5125,2040
saghar1383,1,2000
sah10,1,2240
sajjad_mobaraki,0,2480
salagaa,1,2000
salar,1,2120
sale83,0.285714286,2080
saluki,0,2000
samane-t,1,2120
samir0009,0.461538462,2080
samodelkin,0,2120
sansechess,0.25,2000
santer,0,2040
santral,0,2000
saroyan1990,1,2000
sasha111,0.375,2080
savef,0.5,2040
schnappi,0.708333333,2040
sefalet,0.653846154,2200
sehpa,0.666666667,2040
seigneur,0.461538462,2080
sekerlik,0.4,2040
serge_vw1,0.75,2040
seyedsaeed,1,2000
sezwho,0.623931624,2000
shaf,0.272727273,2240
shakhe,0.705882353,2120
shammies,1,2000
shatrangbaz,1,2040
shaxMSTAtist,0.636363636,2040
shelajev,0.509677419,2040
shredded,0.16,2400
shutupandplay,0,2160
shutyomov,1,2000
sicilianmaster,0.5,2200
sidharth13,1,2000
sidneycrode,0.684210526,2000
sigmaa,1,2000
sindirella,0.333333333,2120
sisili,0.48,2040
sky2014,1,2000
skynet13,0.666666667,2000
slippo,1,2120
slobozia,0.461538462,2000
soapytime,0.483870968,2040
sofi410,0.5,2000
solenko,0.571428571,2000
sonic7,0.555555556,2000
sosisamm,0.62755102,2040
sousapensador,0.6,2080
spab,0.6,2040
spojar,0.524229075,2080
stabilizator_,0.333333333,2160
stochastic7,0.5,2000
stochastic9,0.5,2040
stochastic__,1,2000
stupiid_ania94,0.2,2200
suadba,0.717391304,2040
subpixel,1,2000
sumandas,1,2000
suparno,0,2160
superchess11,0.818181818,2080
superspeed,0.363636364,2320
svetozar,0.5,2040
sylva,0.6,2120
szachpat,1,2000
t-feng,0.588235294,2040
tagaharang,0.8,2000
take-it-ez,0,2400
tal-i-alo,0,2040
tatalimov,0.565217391,2000
taulajoe,1,2000
tehraniran,0.592592593,2160
tembelek,0,2160
temizlikci,0.333333333,2240
tens,0.714285714,2000
terslik,1,2000
texttire,0.563291139,2160
thegoodknight,0,2000
theitalian,0,2000
thoegersen,0.5,2040
ti812,0,2200
tibi,0.55,2080
tir44,1,2000
tocaifriulano,0.578947368,2080
topazxan,0.875,2000
topce,0.456521739,2160
torkun,1,2000
tornet,0.7,2000
totalchess,0.75,2000
tranca,0,2040
tricycle,0.5,2000
trio_rio,1,2040
trotil_,0,2000
trrr,0.5,2040
ttee,0,2400
ttmorteza1,1,2080
turbocut,0,2000
turgutcosan,1,2000
tuskerking,0.713043478,2000
tutuy,1,2040
tweet,0.75,2120
twitch_martiss45,0.666666667,2040
tygerty,0.4,2040
ubvftd,0.8,2080
ufvij,0,2040
ujura,0.641975309,2040
unknonsense,1,2000
upandcomer,0.368421053,2080
upep,0.564102564,2040
ustag,0.5,2000
uzaif,1,2000
vaccins,1,2040
vadikass,0.75,2000
vas1945,0.419642857,2120
vay_ayi,0.545454545,2080
vepashka,0.727272727,2000
ver_vas,0.571428571,2040
veryclear700,1,2080
vevesem,0.547169811,2080
vicam,0.756097561,2000
vid,0.578947368,2040
vit2014,0.432432432,2120
vktrch,0.25,2160
vladfeod,0.666666667,2000
vnimatelevsfg,0,2000
voditel,0.272727273,2080
vvai,0.25,2040
vvvbbbbnnnggg,1,2040
vvvvvvv50540,1,2080
walkingparadox,0.85,2000
watchout700,1,2040
watersign,0,2040
watov,0,2280
waxd,0,2040
whatever,0.25,2080
wheeee,0.458333333,2080
wichy,0.703703704,2040
wigglewiggle,0.514018692,2040
wind1982,0.666666667,2080
winner78899,0.5,2080
wolfychess,1,2000
worms123,0.166666667,2080
wvar,0.5,2000
wwr,0,2000
x014y,1,2000
xX420_N0Sc0p3zXx,0,2040
xaxaxaxa,0.333333333,2120
xcxxxx52,1,2120
xequito,0.5,2080
ximoxo,1,2000
xithry,0,2080
xnowayx,0,2200
xtrem999,1,2040
yalenydd,0,2080
yasir752,0.465517241,2040
yasrdhbol,1,2240
yavashington,0.29787234,2120
yayan,1,2000
yetmez,0.52173913,2200
yfgtyjnuu1,0.5,2040
yfhjfghynm,0,2080
yhfjmxm,0,2000
yhtushko,1,2000
yhyyyy,1,2040
yildizlarinaltinda,0.37037037,2280
yjunior2013-1,1,2000
younes45675,0,2040
younes6767,1,2040
younes76656,1,2040
younes_1990,0.545454545,2000
yspb,1,2000
ytt,0.4,2080
yuchen,0.4,2080
yuio,1,2000
yura_hist,0,2120
zarrabi57,0.8,2000
zdenek,0,2080
zekinha16,1,2000
zembelek,0.537037037,2040
zergy,0.375464684,2240
zerosquad,1,2040
zhoskirocker,0.666666667,2000
zimar,0,2040
zivnix,1,2000
zizzou,0,2000
zoranz,0.695652174,2000
zorro2014,0.571428571,2080
zulo,0.666666667,2000
zuriko,0.631578947,2040
zxcvbnmzxcvbnm,0.846153846,2000
