ID,Win Rate,Elo Bucket
ManFromMars,0.6,2000
Maotoonlente,0.666666667,2000
Maria_K,0.524590164,2080
Maricki,0.684210526,2000
Mat789189,0.692307692,2040
Matador_Angelo,0.666666667,2000
Matetricks,0.384615385,2480
McKane,0.2,2160
Mcrapbel,1,2000
MeikeSchlecker,0.460869565,2320
MensaNTXS,1,2040
Micky-Micky,0.15,2360
MiesesBruce,1,2040
Milan2334,0.5,2040
MingChang,0.228813559,2200
Miniplus,1,2120
Ministre_pizza,0.555555556,2040
Mirze1,0,2200
Mish,0.61627907,2160
MisterBiggStuff,0.5,2240
Mohsenabutalebi,0.35,2160
MontessoriChess,0.5,2000
Monyassa,1,2000
MoralIntentions,1,2000
Morfi4,0,2080
Morie1213,0.666666667,2200
MorozevichA,0.8,2120
Morphy91,0.333333333,2000
Morric,0,2000
MrPatate,0.684210526,2040
MurphyLasker,1,2000
MxTriX_,0,2040
NABat,0.484536082,2160
Neologic,0.666666667,2200
Nerwal,0.25,2080
Neverhood,0,2240
Nevski,0.538461538,2040
Nictofobia,0.634285714,2040
NjScotsGuy,0.416666667,2120
NoBanPlease,0.6,#N/A
Noragerfromsweden,0.661764706,2000
Nrock,0.4,2080
Ns7edR0EMCZONRp1g7FN,1,2080
OCoringa,0.421800948,2200
OPTYMUS,1,2080
Oberst,0.666666667,2120
OneOfTheQ,0.791666667,2000
OrangeSpaceDrink,0.296610169,2360
Orochimaru,0.1875,2280
PARACETAMOL,1,2000
PERSEI,0.517241379,2040
PLATINUM,0.291666667,2160
PRESA,0.267857143,2520
Patrizsche,0.5,2080
PawnGambit,1,2040
Peeter,0.382352941,2120
Permanganato,1,2000
Petrovich63,0.615384615,2080
Phaethon,0.536082474,2080
Phaffans,0.330543933,2320
Philidor1792,0.4,2040
PhilyL,0.5,2040
Phyisis,0.75,2080
Pierrodactyle,1,2000
Pikuro,0.545454545,2040
Piquro,0.634146341,2000
PlanToWin,0.666666667,2240
PlayForLife,0,2120
Plor,0.5,2120
PoJer,0,2080
Polmipoque,0.545454545,2040
Porfirios,0.5625,2000
Portos2010,0.52,2040
PowerfulChessPlayer,0.508474576,2160
Pro_100_Mika,0.5,2000
Protoreus,0.555555556,2000
Pterodactyl,0.338983051,2160
Pulsy,1,2080
Putinovic,0.25,2040
Quanganh1025,0.75,2040
RBT02X,0.6,2080
RPG77,0.333333333,2120
RSPIRES2,0.75,2000
RUMVI,0.5,2080
Raf48,0.555555556,2080
Rafael100,0.545454545,2040
Rahim51,0.564102564,2040
Ranger7168,1,2000
Ratatinator,0.571428571,2000
Red_Allert,0.666666667,2000
Reppko,0.644230769,2040
Rettousei,0.25,2080
RezachessMaster78,0.555555556,2080
RiccardoRubino99,0,#N/A
Riddik345,0.25,2200
Rioma,0.666666667,2000
RobbyFischer,0.142857143,2080
Romoda,0.50862069,2120
Ronin13,0.5,2040
RudolfSpielmann,1,2120
SATO1,0,2200
SINA_001,1,2000
SKI1946,0.525,2040
SMJT,0,2040
SRF12jul12,0.5,2120
SSAARR,0,2000
SSTotenkopf,0.75,2080
SVIST15,1,2040
Safifa,0.4,2120
Salar_51,0.5,2040
Salgadim,0.5,2160
SanPedro,0,2160
Seppo,1,2160
Seredas,0.166666667,2320
Sergeguillemart,0.666666667,2000
Sergey_,1,2040
Sergio_Aguero,0.644444444,2000
