Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
kkkjhhggh12345,,,2070.285714,2040,0,7,7,14
saeedherox,,,2029.438963,2000,1,24,25,49
leptonic,,,2224.635294,2200,0,43,42,85
nimapashikh006,,,2169,2160,6,2,3,5
nimapashikh0098,,,2140.4,2120,6,2,3,5
pulkownik1,,,2122.075,2120,1,1,1,2
chessmusic,,,2063.61157,2040,1,1,0,1
nimapashi003,,,2152.75,2120,6,2,2,4
glube,,,2008,2000,0,1,0,1
1smurf5,,,2062,2040,0,1,0,1
wigglewiggle,,,2074.626168,2040,0,52,55,107
Spellvexit,,,2010,2000,0,3,2,5
shaf,,,2226.625,2200,0,1,2,3
orginalea,,,2081.354167,2080,11,5,5,10
chessfune,,,2386.9,2360,11,5,5,10
llolllll6,,,2087.6,2080,0,1,4,5
Lajosportis,,,2056.21875,2040,0,7,7,14
pinkpony,,,2018,2000,0,0,2,2
TTTTTT11,,,2144,2120,0,0,1,1
Sonata2,,,2014.444444,2000,1,1,0,1
nimapashikhirtabriz,,,2183.125,2160,6,4,4,8
gabacho,,,2064.368421,2040,0,9,10,19
asew,,,2088,2080,0,1,0,1
HHHHHHH0,,,2030,2000,0,0,1,1
cosinus,,,2152.676471,2120,0,17,17,34
bikhail,,,2173.307692,2160,0,6,7,13
juanze21,,,2008.543779,2000,1,3,2,5
kknight,,,2036.556818,2000,1,3,1,4
FMiki,,,2011,2000,0,4,2,6
TacticalEye,,,2011.571429,2000,0,3,4,7
Kaaater,,,2007,2000,0,2,1,3
amirkhanloomorteza,,,2132,2120,0,1,2,3
heimoelo,,,2043,2040,0,1,0,1
vay_ayi,,,2067.825175,2040,1,4,7,11
mortezamesi1,,,2023,2000,0,1,0,1
Miniplus,,,2100,2080,0,1,0,1
Daniel1999,,,2173.442857,2160,0,35,35,70
GameStarted,,,2059,2040,0,5,7,12
nimapashikhtabrizira,,,2168.75,2160,6,2,2,4
Indomable,,,2010,2000,12,0,1,1
Lockstockandtwo,,,2220.333333,2200,12,3,0,3
carlsen89,,,2035.666667,2000,0,5,7,12
